Beverage_category,Beverage,Beverage_prep,Calories,Total Fat (g),Trans Fat (g),Saturated Fat (g),Sodium (mg),Total Carbohydrates (g),Cholesterol (mg),Dietary Fibre (g),Sugars (g),Protein (g),Vitamin A (% DV),Vitamin C (% DV),Calcium (% DV),Iron (% DV),Caffeine (mg)
Shaken Iced Beverages,Shaken Iced Tazo® Tea (With Classic Syrup),Tall,60.00,0.00,0.00,0.00,0,0,15,0,15,0,0.00,0.00,0.00,0.06,170
Shaken Iced Beverages,Shaken Iced Tazo® Tea (With Classic Syrup),Grande,80.00,0.00,0.00,0.00,0,0,21,0,21,0,0.00,0.00,0.00,0.00,
Shaken Iced Beverages,Shaken Iced Tazo® Tea (With Classic Syrup),Venti,120.00,0.00,0.00,0.00,0,0,31,0,31,0,0.00,0.00,0.00,0.00,
Shaken Iced Beverages,Shaken Iced Tazo® Tea Lemonade (With Classic Syrup),Tall,100.00,0.00,0.00,0.00,0,0,25,0,24,0.1,0.00,0.10,0.00,0.00,
Shaken Iced Beverages,Shaken Iced Tazo® Tea Lemonade (With Classic Syrup),Grande,130.00,0.00,0.00,0.00,0,0,33,0,33,0.1,0.00,0.15,0.00,0.00,
Shaken Iced Beverages,Shaken Iced Tazo® Tea Lemonade (With Classic Syrup),Venti,190.00,0.00,0.00,0.00,0,0,49,0,49,0.1,0.00,0.20,0.00,0.00,
Smoothies,Banana Chocolate Smoothie,Grande Nonfat Milk,280.00,2.50,1.50,0.00,5,150,53,7,34,20,0.10,0.15,0.20,0.00,
Smoothies,Banana Chocolate Smoothie,2% Milk,300.00,5.00,2.50,0.10,15,160,53,7,34,20,0.08,0.15,0.20,0.20,15
Smoothies,Banana Chocolate Smoothie,Soymilk,290.00,4.50,1.50,0.00,5,150,51,7,31,19,0.06,0.15,0.20,0.20,15
Smoothies,Orange Mango Banana Smoothie,Grande Nonfat Milk,260.00,1.00,0.30,0.00,5,120,54,6,37,16,0.50,0.80,0.10,0.30,15
Smoothies,Orange Mango Banana Smoothie,2% Milk,270.00,1.50,0.50,0.00,5,125,53,6,37,16,0.50,0.80,0.10,0.06,0
Smoothies,Orange Mango Banana Smoothie,Soymilk,270.00,1.50,0.40,0.00,5,120,53,6,36,15,0.50,0.80,0.10,0.06,0
Smoothies,Strawberry Banana Smoothie,Grande Nonfat Milk,290.00,1.00,0.30,0.00,5,125,58,7,41,16,0.04,1.00,0.10,0.08,0
Smoothies,Strawberry Banana Smoothie,2% Milk,290.00,2.00,1.00,0.00,5,125,58,7,41,16,0.04,1.00,0.10,0.08,0
Smoothies,Strawberry Banana Smoothie,Soymilk,290.00,2.00,0.40,0.00,5,120,58,8,40,16,0.02,1.00,0.10,0.08,0
Frappuccino® Blended Coffee,Coffee,Tall Nonfat Milk,160.00,0.10,0.00,0.00,0,160,36,0,36,3,0.04,0.00,0.10,0.10,0
Frappuccino® Blended Coffee,Coffee,Whole Milk,180.00,2.50,1.50,0.10,10,160,36,0,36,3,0.04,0.00,0.08,0.00,70
Frappuccino® Blended Coffee,Coffee,Soymilk,160.00,1.50,0.20,0.00,0,150,35,0,34,2,0.04,0.00,0.10,0.00,70
Frappuccino® Blended Coffee,Coffee,Grande Nonfat Milk,220.00,0.10,0.10,0.00,0,210,51,0,50,4,0.06,0.00,0.10,0.04,70
Frappuccino® Blended Coffee,Coffee,Whole Milk,240.00,3.00,2.00,0.10,10,220,50,0,50,3,0.04,0.00,0.10,0.00,95
Frappuccino® Blended Coffee,Coffee,Soymilk,220.00,1.50,0.20,0.00,0,210,49,0,47,3,0.04,0.00,0.10,0.00,95
Frappuccino® Blended Coffee,Coffee,Venti Nonfat Milk,310.00,0.10,0.10,0.00,5,300,70,0,69,6,0.10,0.00,0.20,0.06,95
Frappuccino® Blended Coffee,Coffee,Whole Milk,350.00,5.00,3.00,0.20,15,300,70,0,69,5,0.08,0.00,0.15,0.02,130
Frappuccino® Blended Coffee,Coffee,Soymilk,310.00,2.50,0.30,0.00,0,300,68,1,66,5,0.06,0.00,0.20,0.02,130
Frappuccino® Blended Coffee,Mocha (Without Whipped Cream),Tall Nonfat Milk,180.00,0.50,0.40,0.00,0,150,42,1,40,3,0.04,0.00,0.10,0.08,130
Frappuccino® Blended Coffee,Mocha (Without Whipped Cream),Whole Milk,200.00,3.00,2.00,0.10,10,160,42,1,40,3,0.04,0.00,0.08,0.06,70
Frappuccino® Blended Coffee,Mocha (Without Whipped Cream),Soymilk,180.00,2.00,0.50,0.00,0,150,40,1,38,3,0.04,0.00,0.10,0.10,70
Frappuccino® Blended Coffee,Mocha (Without Whipped Cream),Grande Nonfat Milk,260.00,1.00,0.50,0.00,0,220,61,1,58,4,0.06,0.00,0.10,0.08,110
Frappuccino® Blended Coffee,Mocha (Without Whipped Cream),Whole Milk,290.00,4.00,2.50,0.10,10,220,61,1,58,4,0.04,0.00,0.10,0.08,110
Frappuccino® Blended Coffee,Mocha (Without Whipped Cream),Soymilk,260.00,2.50,0.50,0.00,0,220,59,1,55,4,0.04,0.00,0.10,0.15,110
Frappuccino® Blended Coffee,Mocha (Without Whipped Cream),Venti Nonfat Milk,340.00,1.00,0.50,0.00,5,300,80,1,76,7,0.10,0.00,0.15,0.10,140
Frappuccino® Blended Coffee,Mocha (Without Whipped Cream),Whole Milk,390.00,6.00,3.50,0.10,15,300,80,1,76,6,0.08,0.00,0.15,0.10,140
Frappuccino® Blended Coffee,Mocha (Without Whipped Cream),Soymilk,350.00,3.00,1.00,0.00,0,290,78,2,73,6,0.06,0.00,0.20,0.20,140
Frappuccino® Blended Coffee,Caramel (Without Whipped Cream),Tall Nonfat Milk,180.00,0.10,0.00,0.00,0,160,42,0,41,3,0.04,0.00,0.10,0.00,70
Frappuccino® Blended Coffee,Caramel (Without Whipped Cream),Whole Milk,200.00,2.50,1.50,0.10,10,160,42,0,41,3,0.04,0.00,0.08,0.00,70
Frappuccino® Blended Coffee,Caramel (Without Whipped Cream),Soymilk,180.00,1.50,0.20,0.00,0,150,40,0,39,2,0.04,0.00,0.10,0.04,70
Frappuccino® Blended Coffee,Caramel (Without Whipped Cream),Grande Nonfat Milk,280.00,0.10,0.10,0.00,0,220,60,0,59,4,0.06,0.00,0.10,0.00,100
Frappuccino® Blended Coffee,Caramel (Without Whipped Cream),Whole Milk,280.00,3.50,2.00,0.10,10,220,60,0,59,3,0.04,0.00,0.10,0.00,100
Frappuccino® Blended Coffee,Caramel (Without Whipped Cream),Soymilk,260.00,1.50,0.20,0.00,0,220,58,0,56,3,0.04,0.00,0.10,0.06,100
Frappuccino® Blended Coffee,Caramel (Without Whipped Cream),Venti Nonfat Milk,330.00,0.10,0.10,0.00,5,290,78,0,77,5,0.10,0.00,0.15,0.02,130
Frappuccino® Blended Coffee,Caramel (Without Whipped Cream),Whole Milk,370.00,5.00,3.00,0.10,15,300,78,0,77,5,0.08,0.00,0.15,0.02,130
Frappuccino® Blended Coffee,Caramel (Without Whipped Cream),Soymilk,340.00,2.50,0.30,0.00,0,290,75,1,73,5,0.06,0.00,0.20,0.08,130
Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),Tall Nonfat Milk,220.00,3.00,2.00,0.00,0,170,47,1,44,4,0.04,0.00,0.10,0.20,75
Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),Whole Milk,240.00,5.00,3.50,0.10,10,170,47,1,44,4,0.04,0.00,0.08,0.20,75
Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),Soymilk,220.00,4.00,2.50,0.00,0,170,45,1,42,3,0.04,0.00,0.10,0.20,75
Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),Grande Nonfat Milk,310.00,4.00,3.00,0.00,0,250,67,2,62,5,0.06,0.00,0.10,0.25,110
Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),Whole Milk,340.00,7.00,5.00,0.10,10,250,67,2,62,5,0.04,0.00,0.10,0.25,110
Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),Soymilk,310.00,6.00,3.50,0.00,0,240,65,2,60,4,0.04,0.00,0.10,0.30,110
Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),Venti Nonfat Milk,420.00,5.00,4.00,0.00,5,340,90,2,84,7,0.10,0.00,0.20,0.35,145
Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),Whole Milk,460.00,10.00,7.00,0.20,15,340,90,2,84,7,0.06,0.00,0.15,0.35,145
Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),Soymilk,430.00,8.00,4.50,0.00,0,330,88,3,80,6,0.06,0.00,0.20,0.40,145
Frappuccino® Light Blended Coffee,Coffee,Tall Nonfat Milk,90.00,0.10,0.00,0.00,0,160,20,0,19,3,0.04,0.00,0.10,0.00,70
Frappuccino® Light Blended Coffee,Coffee,Grande Nonfat Milk,120.00,0.10,0.10,0.00,0,210,26,0,26,3,0.06,0.00,0.10,0.00,95
Frappuccino® Light Blended Coffee,Coffee,Venti Nonfat Milk,160.00,0.10,0.10,0.00,5,270,34,0,33,5,0.08,0.00,0.15,0.02,120
Frappuccino® Light Blended Coffee,Mocha,Tall Nonfat Milk,110.00,0.50,0.40,0.00,0,150,24,1,23,3,0.04,0.00,0.08,0.06,70
Frappuccino® Light Blended Coffee,Mocha,Grande Nonfat Milk,150.00,1.00,0.50,0.00,0,200,33,1,30,4,0.06,0.00,0.10,0.08,95
Frappuccino® Light Blended Coffee,Mocha,Venti Nonfat Milk,210.00,1.00,0.50,0.00,5,280,46,1,42,6,0.08,0.00,0.15,0.10,130
Frappuccino® Light Blended Coffee,Caramel,Tall Nonfat Milk,100.00,0.10,0.00,0.00,0,140,23,0,23,3,0.04,0.00,0.08,0.00,65
Frappuccino® Light Blended Coffee,Caramel,Grande Nonfat Milk,150.00,0.10,0.10,0.00,0,200,33,0,32,3,0.06,0.00,0.10,0.00,90
Frappuccino® Light Blended Coffee,Caramel,Venti Nonfat Milk,200.00,0.10,0.10,0.00,5,270,44,0,43,5,0.08,0.00,0.15,0.02,120
Frappuccino® Light Blended Coffee,Java Chip,Tall Nonfat Milk,150.00,3.00,2.00,0.00,0,170,30,1,27,4,0.04,0.00,0.10,0.20,70
Frappuccino® Light Blended Coffee,Java Chip,Grande Nonfat Milk,220.00,4.00,3.00,0.00,0,240,43,2,39,5,0.06,0.00,0.10,0.25,105
Frappuccino® Light Blended Coffee,Java Chip,Venti Nonfat Milk,290.00,5.00,4.00,0.00,5,320,58,2,52,7,0.08,0.00,0.15,0.35,165
Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Tall Nonfat Milk,170.00,0.10,0.10,0.00,0,140,39,0,38,3,0.06,0.06,0.10,0.02,0
Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Whole Milk,190.00,3.00,1.50,0.10,10,140,38,0,37,3,0.04,0.06,0.10,0.02,0
Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Soymilk,170.00,1.50,0.20,0.00,0,135,37,1,35,3,0.04,0.06,0.10,0.06,0
Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Grande Nonfat Milk,230.00,0.20,0.10,0.00,0,190,53,0,52,4,0.08,0.06,0.15,0.04,0
Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Whole Milk,260.00,4.00,2.00,0.10,10,190,53,0,52,4,0.06,0.06,0.15,0.04,0
Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Soymilk,240.00,2.00,0.20,0.00,0,180,51,1,49,3,0.04,0.06,0.15,0.08,0
Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Venti Nonfat Milk,310.00,0.20,0.10,0.00,5,260,70,0,69,6,0.10,0.08,0.20,0.04,0
Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Whole Milk,350.00,6.00,3.00,0.20,15,260,70,0,68,6,0.08,0.08,0.20,0.04,0
Frappuccino® Blended Crème,Strawberries & Crème (Without Whipped Cream),Soymilk,320.00,3.20,0.40,0.00,0,250,67,1,64,5,0.06,0.08,0.20,0.10,0
Frappuccino® Blended Crème,Vanilla Bean (Without Whipped Cream),Tall Nonfat Milk,170.00,0.10,0.10,0.00,0,160,39,0,38,4,0.06,0.00,0.10,0.00,0
Frappuccino® Blended Crème,Vanilla Bean (Without Whipped Cream),Whole Milk,200.00,3.50,2.00,0.10,10,160,39,0,38,3,0.06,0.00,0.10,0.00,0
Frappuccino® Blended Crème,Vanilla Bean (Without Whipped Cream),Soymilk,180.00,1.50,0.20,0.00,0,160,37,1,35,3,0.04,0.00,0.10,0.06,0
Frappuccino® Blended Crème,Vanilla Bean (Without Whipped Cream),Grande Nonfat Milk,240.00,0.10,0.10,0.00,5,230,56,0,55,5,0.08,0.00,0.15,0.00,0
